round,seed,condition,algorithm,selection_mode,selection_budget,agent_id,selection_score,selected_for_aggregation
26,41,standard,fedadagrad,error_low,4,0,10.269304698968924,0
26,41,standard,fedadagrad,error_low,4,1,0.2927573651607345,1
26,41,standard,fedadagrad,error_low,4,2,0.6490934021581952,0
26,41,standard,fedadagrad,error_low,4,3,0.401409106977746,0
26,41,standard,fedadagrad,error_low,4,4,0.2866497474361453,1
26,41,standard,fedadagrad,error_low,4,5,0.2787779932992307,1
26,41,standard,fedadagrad,error_low,4,6,0.4033359269315131,0
26,41,standard,fedadagrad,error_low,4,7,0.1757264619384844,1
27,41,standard,fedadagrad,error_low,4,0,0.5659533480961327,0
27,41,standard,fedadagrad,error_low,4,1,0.2341855821222061,1
27,41,standard,fedadagrad,error_low,4,2,0.3582316463555446,0
27,41,standard,fedadagrad,error_low,4,3,0.354394188310059,0
27,41,standard,fedadagrad,error_low,4,4,0.3163710983229446,1
27,41,standard,fedadagrad,error_low,4,5,0.2296104613196045,1
27,41,standard,fedadagrad,error_low,4,6,1.172927592770236,0
27,41,standard,fedadagrad,error_low,4,7,0.3222827542922572,1
28,41,standard,fedadagrad,error_low,4,0,0.7035251116938018,0
28,41,standard,fedadagrad,error_low,4,1,0.307827510590778,1
28,41,standard,fedadagrad,error_low,4,2,0.2619932748643711,1
28,41,standard,fedadagrad,error_low,4,3,0.4665199134537617,0
28,41,standard,fedadagrad,error_low,4,4,0.275368805139685,1
28,41,standard,fedadagrad,error_low,4,5,0.2273248191203555,1
28,41,standard,fedadagrad,error_low,4,6,0.5432645145120767,0
28,41,standard,fedadagrad,error_low,4,7,0.3133819415802972,0
29,41,standard,fedadagrad,error_low,4,0,1.349863018376702,0
29,41,standard,fedadagrad,error_low,4,1,0.1587093970896254,1
29,41,standard,fedadagrad,error_low,4,2,0.662644876223598,0
29,41,standard,fedadagrad,error_low,4,3,1.2696859605351023,0
29,41,standard,fedadagrad,error_low,4,4,0.4286791064710141,1
29,41,standard,fedadagrad,error_low,4,5,0.2510352656205366,1
29,41,standard,fedadagrad,error_low,4,6,0.5280956774357323,0
29,41,standard,fedadagrad,error_low,4,7,0.2021539720929211,1
30,41,standard,fedadagrad,error_low,4,0,0.8817285761510311,0
30,41,standard,fedadagrad,error_low,4,1,0.1618929873812825,1
30,41,standard,fedadagrad,error_low,4,2,0.3622000889641207,1
30,41,standard,fedadagrad,error_low,4,3,0.5799225606923923,0
30,41,standard,fedadagrad,error_low,4,4,0.2639700957463346,1
30,41,standard,fedadagrad,error_low,4,5,0.1758392683503338,1
30,41,standard,fedadagrad,error_low,4,6,0.4034131511639478,0
30,41,standard,fedadagrad,error_low,4,7,0.4323710024545693,0
31,41,standard,fedadagrad,error_low,4,0,0.4785901102536467,0
31,41,standard,fedadagrad,error_low,4,1,0.1962453716882735,1
31,41,standard,fedadagrad,error_low,4,2,0.4212636883629279,0
31,41,standard,fedadagrad,error_low,4,3,0.5917314264924507,0
31,41,standard,fedadagrad,error_low,4,4,0.3968362090780916,1
31,41,standard,fedadagrad,error_low,4,5,0.1775231430522713,1
31,41,standard,fedadagrad,error_low,4,6,0.7857752408980051,0
31,41,standard,fedadagrad,error_low,4,7,0.1689300578988897,1
32,41,standard,fedadagrad,error_low,4,0,1.220615685952175,0
32,41,standard,fedadagrad,error_low,4,1,0.2565936986033444,1
32,41,standard,fedadagrad,error_low,4,2,0.3520587855355109,1
32,41,standard,fedadagrad,error_low,4,3,0.959622626163435,0
32,41,standard,fedadagrad,error_low,4,4,0.4376637561436017,0
32,41,standard,fedadagrad,error_low,4,5,0.3552341922488289,0
32,41,standard,fedadagrad,error_low,4,6,0.264060760446999,1
32,41,standard,fedadagrad,error_low,4,7,0.3366785001343078,1
33,41,standard,fedadagrad,error_low,4,0,1.5439187805268026,0
33,41,standard,fedadagrad,error_low,4,1,0.2082631567449121,1
33,41,standard,fedadagrad,error_low,4,2,0.442806109373991,0
33,41,standard,fedadagrad,error_low,4,3,1.369019748065645,0
33,41,standard,fedadagrad,error_low,4,4,0.3319399355013182,1
33,41,standard,fedadagrad,error_low,4,5,0.1914705543315971,1
